Date,Open,High,Low,Close,Adj Close,Volume
2018-11-21,180.020004,186.270004,179.520004,183.949997,183.949997,2704200
2018-11-23,181.380005,183.309998,181.000000,182.610001,182.610001,1266300
2018-11-26,186.259995,186.869995,183.830002,185.190002,185.190002,1860600
2018-11-27,183.600006,185.250000,181.110001,182.789993,182.789993,2685100
2018-11-28,185.800003,188.500000,181.750000,188.440002,188.440002,3337600
2018-11-29,186.500000,187.490005,182.449997,183.220001,183.220001,3409400
2018-11-30,183.039993,189.589996,182.380005,188.279999,188.279999,2939600
2018-12-03,196.000000,196.000000,189.210007,191.330002,191.330002,3639200
2018-12-04,192.369995,193.500000,180.000000,182.660004,182.660004,4593400
2018-12-06,176.009995,183.490005,174.660004,180.699997,180.699997,4346300
2018-12-07,180.110001,185.149994,178.619995,179.559998,179.559998,2854500
2018-12-10,178.259995,181.550003,174.250000,179.199997,179.199997,1947000
2018-12-11,181.839996,182.100006,176.009995,176.850006,176.850006,3131700
2018-12-12,180.500000,182.949997,179.300003,179.750000,179.750000,2784100
2018-12-13,182.389999,183.100006,179.169998,179.899994,179.899994,1797800
2018-12-14,177.699997,180.509995,176.479996,177.539993,177.539993,2075000
2018-12-17,176.580002,176.779999,167.529999,169.860001,169.860001,4193400
2018-12-18,173.119995,173.289993,167.210007,167.610001,167.610001,2953700
2018-12-19,167.940002,169.139999,160.000000,162.479996,162.479996,3970000
2018-12-20,160.860001,164.589996,159.830002,160.360001,160.360001,4152200
2018-12-21,162.289993,162.770004,156.250000,157.419998,157.419998,4934300
2018-12-24,155.289993,161.479996,155.250000,157.119995,157.119995,2354000
2018-12-26,158.320007,163.169998,154.610001,163.039993,163.039993,2689900
2018-12-27,160.539993,161.949997,156.039993,161.580002,161.580002,2639500
2018-12-28,162.029999,164.610001,160.600006,162.169998,162.169998,2148200
2018-12-31,163.800003,164.399994,157.520004,158.600006,158.600006,2487600
2019-01-02,156.179993,164.330002,155.490005,162.250000,162.250000,2997000
2019-01-03,158.750000,159.880005,153.779999,154.710007,154.710007,3879200
2019-01-04,157.600006,162.429993,157.250000,160.949997,160.949997,3847500
2019-01-07,162.600006,164.490005,158.509995,162.600006,162.600006,3266100
2019-01-08,162.190002,163.889999,158.160004,163.399994,163.399994,3253400
2019-01-09,166.720001,168.410004,165.479996,166.639999,166.639999,3391500
2019-01-10,164.979996,168.449997,162.910004,168.350006,168.350006,2135400
2019-01-11,167.850006,168.350006,164.679993,166.110001,166.110001,2340400
2019-01-14,162.820007,163.970001,161.589996,163.029999,163.029999,1786800
2019-01-15,164.429993,169.940002,164.399994,167.929993,167.929993,2364000
2019-01-16,169.619995,171.330002,168.559998,169.750000,169.750000,2102000
2019-01-17,167.839996,169.940002,164.550003,168.110001,168.110001,3119500
2019-01-18,170.539993,174.279999,169.800003,171.360001,171.360001,3239400
2019-01-22,167.350006,167.460007,158.520004,160.389999,160.389999,7087600
2019-01-23,162.000000,163.360001,158.899994,163.259995,163.259995,4427800
2019-01-24,163.250000,163.550003,161.000000,162.699997,162.699997,2921900
2019-01-25,164.990005,168.059998,163.399994,167.100006,167.100006,2985900
2019-01-28,164.179993,168.229996,162.720001,167.500000,167.500000,2027500
2019-01-29,167.910004,167.979996,164.149994,165.270004,165.270004,1469600
2019-01-30,166.720001,170.100006,165.250000,169.339996,169.339996,2415100
2019-01-31,171.050003,175.089996,170.360001,172.630005,172.630005,3320400
2019-02-01,172.679993,173.539993,169.380005,171.270004,171.270004,2053900
2019-02-04,172.350006,175.539993,171.009995,173.940002,173.940002,1584100
2019-02-05,175.309998,176.889999,173.539993,176.229996,176.229996,1534200
2019-02-06,176.229996,176.539993,173.589996,173.850006,173.850006,1247500
2019-02-07,173.520004,173.960007,170.059998,171.580002,171.580002,1982700
